Month,Day,avg_pm1,avg_pm2,avg_pm3,avg_am,avg_lum,avg_temp,avg_humd,avg_pres,avg_sm
Sep,5,1.562110092,2.563944954,59.27110092,0,2953.302752,24.26752294,89.68688073,93016.51202,7136.513761
Sep,6,1.579189189,2.562972973,59.27036036,0,3655.18018,23.45027027,89.99369369,92940.97748,7128.765766
Sep,7,1.579189189,2.537747748,59.29054054,0,3827.117117,24.38810811,86.57432432,92904.48613,7182.972973
Sep,8,1.568181818,2.566,59.31145455,0,2579.381818,24.03827273,87.59345455,92862.47327,7183.336364
Sep,9,1.577522936,2.558807339,59.29165138,0,3733.779817,23.18229358,92.67256881,92820.89743,7198.972477
Sep,10,1.573272727,2.566,59.29109091,0,2839.372727,22.13618182,96.10545455,92855.64091,7186.590909
Sep,11,1.533925234,2.470747664,58.8688785,0.044859813,3938.457944,22.01990654,96.43028037,92711.94495,7166.214953
Sep,12,1.485145631,2.38223301,55.70184466,0.209708738,4035.980583,21.33368932,99.65902913,92674.63728,7185.15534
Sep,13,1.485145631,2.38223301,55.04271845,0.093203883,3352.23301,21.85757282,97.13,92908.38282,7232.466019
Sep,14,1.485145631,2.38223301,55.06446602,0.155339806,3503.737864,22.43145631,94.17087379,93175.01175,7214.145631
Sep,15,1.485145631,2.360485437,55.04271845,0.015533981,3203.058252,22.03941748,96.03019417,93281.28078,7222.92233
Sep,16,1.485145631,2.38223301,55.06446602,0.062135922,3784.126214,22.17427184,94.43359223,93119.03942,7184.116505
Sep,17,1.463398058,2.38223301,55.06446602,0.054368932,3353.126214,23.26504854,87.66951456,93126.93233,7161.475728
Sep,18,1.494313725,2.38372549,55.06745098,0,3470.098039,22.72411765,90.44862745,93206.34922,7151.078431
Sep,19,1.485145631,2.38223301,55.06446602,0,3425.07767,22.21456311,85.78126214,93195.86184,7109.834951
Sep,20,1.485145631,2.38223301,55.02097087,0,3023.854369,22.00009709,84.30805825,93149.73874,6995.786408
Sep,21,1.40443299,2.253092784,53.74391753,0,3577.371134,22.63123711,82.87742268,93127.50526,6849.381443
Sep,22,1.39,2.23,51.47,0,3183.979167,22.0096875,83.81489583,93196.60792,6595.177083
Sep,23,1.39,2.23,51.4,0,3735.729167,21.82041667,89.21270833,93242.22823,5926.135417
Sep,24,1.39,2.23,51.4,0,3157.864583,22.44166667,86.05020833,93187.94177,4537.59375
Sep,25,1.39,2.23,51.4,0,3064.03125,23.48541667,83.40729167,93096.73938,3437.729167
Sep,26,1.39,2.23,51.4,0,3286.604167,24.4125,79.98520833,93184.98313,2731.46875
Sep,27,1.39,2.23,51.4,0,2582.59375,23.5415625,82.30552083,93105.49677,2228.729167
Sep,28,1.39,2.23,51.4,0,2854.229167,24.021875,80.45614583,93019.32031,1792.4375
Sep,29,1.39,2.23,51.4,0,3189.71875,23.8125,83.06385417,92998.12927,1436.708333
